Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
25,0.2376,9.3408,0.13626,5.994369937,6.717486281,7.169433996,7.418556395,7.815388535,8.09096641,8.512049403,9.340987651,10.22945072,10.73210476,11.08484444,11.62056783,11.97992138,12.67878687,13.95305897
26,0.2361,9.4371,0.13582,6.064917873,6.794648086,7.251005047,7.502332069,7.901368832,8.17915133,8.602438946,9.437991063,10.333068,10.83792667,11.19287097,11.73300361,12.09456178,12.80004114,14.0809271
27,0.2346,9.5328,0.13539,6.137670432,6.871809891,7.330371475,7.58390312,7.985144506,8.265131627,8.692828489,9.532789852,10.43448066,10.94374857,11.3008975,11.84323476,12.20699755,12.91688616,14.20879524
28,0.2331,9.6278,0.13497,6.208218368,6.948971696,7.411942526,7.665474171,8.06892018,8.351111924,8.781013409,9.627588641,10.53589332,11.04957048,11.4067194,11.95346591,12.32163795,13.0359358,14.33445875
29,0.2317,9.7224,0.13455,6.278766304,7.026133501,7.491308954,7.747045222,8.152695854,8.437092221,8.871402952,9.72238743,10.63510135,11.15318776,11.51254131,12.06369706,12.4318691,13.15278082,14.46012226
30,0.2303,9.8161,0.13413,6.34931424,7.101090683,7.568470759,7.82641165,8.236471528,8.523072518,8.957383249,9.817186219,10.73651401,11.25460042,11.61836321,12.17392821,12.54430487,13.26742121,14.58358115
31,0.229,9.9089,0.13372,6.419862176,7.176047865,7.647837187,7.907982701,8.320247202,8.606848192,9.045568169,9.909780385,10.83351742,11.3582177,11.72198049,12.27975011,12.65453602,13.38206161,14.70704003
32,0.2276,10.0008,0.13332,6.488205489,7.251005047,7.724998992,7.985144506,8.401818253,8.690623866,9.131548466,10.00016993,10.93272546,11.45742573,11.82559777,12.38777664,12.76256255,13.49449738,14.8282943
33,0.2263,10.0919,0.13292,6.556548802,7.323757606,7.802160797,8.064510934,8.483389304,8.77439954,9.217528763,10.09276409,11.02752425,11.55883839,11.92701043,12.49359854,12.87058907,13.60693316,14.94734394
34,0.225,10.1821,0.13253,6.624892115,7.396510165,7.879322602,8.141672739,8.562755732,8.855970591,9.30350906,10.18315364,11.12452766,11.65804642,12.02842309,12.59721582,12.97641098,13.71716431,15.06418896
35,0.2237,10.2713,0.13215,6.693235428,7.469262724,7.954279784,8.218834544,8.64212216,8.937541642,9.387284734,10.27133856,11.21932645,11.75504984,12.12983575,12.7008331,13.08223288,13.82739546,15.1832386
36,0.2225,10.3595,0.13177,6.759374118,7.542015283,8.029236966,8.295996349,8.721488588,9.01690807,9.471060408,10.35952348,11.31192061,11.85205325,12.22683916,12.80224576,13.18585016,13.93542198,15.297879
37,0.2213,10.4468,0.13139,6.827717431,7.612563219,8.101989525,8.370953531,8.798650393,9.098479121,9.552631459,10.4477084,11.40451478,11.94685204,12.32384257,12.9014538,13.28946744,14.04124389,15.41031477
38,0.2201,10.5332,0.13102,6.891651498,7.683111155,8.174742084,8.445910713,8.875812198,9.177845549,9.63420251,10.53368869,11.49710895,12.04165083,12.42084598,13.00286645,13.3908801,14.14706579,15.52495517
39,0.2189,10.6188,0.13066,6.957790188,7.753659091,8.247494643,8.520867895,8.952974003,9.255007354,9.713568938,10.61966899,11.58749849,12.13424499,12.51784939,13.09986987,13.49008814,14.2528877,15.63518632
40,0.2178,10.7032,0.1303,7.021724255,7.822002404,8.320247202,8.593620454,9.030135808,9.332169159,9.795139989,10.70344467,11.67568341,12.22683916,12.61044356,13.19687328,13.58929617,14.35430035,15.74541747
41,0.2166,10.7868,0.12994,7.087862945,7.890345717,8.390795138,8.666373013,9.10509299,9.409330964,9.872301794,10.78722034,11.76607295,12.3172287,12.70303773,13.29387669,13.68629958,14.45571301,15.85344399
42,0.2155,10.8695,0.1296,7.149592389,7.95868903,8.461343074,8.739125572,9.177845549,9.484288146,9.951668222,10.86879139,11.85205325,12.40761824,12.79563189,13.38867548,13.783303,14.55712567,15.9592659
43,0.2144,10.9512,0.12925,7.213526456,8.02482772,8.53189101,8.809673508,9.250598108,9.559245328,10.02883003,10.95036244,11.94023817,12.49800779,12.88602144,13.48126965,13.88030641,14.6563337,16.0650878
44,0.2133,11.0322,0.12891,7.2752559,8.093171033,8.600234323,8.880221444,9.323350667,9.63420251,10.10599183,11.03193349,12.02401384,12.58619271,12.97641098,13.57386381,13.9751052,14.75333712,16.17090971
45,0.2122,11.1122,0.12858,7.336985344,8.1571051,8.668577636,8.95076938,9.396103226,9.706955069,10.18094901,11.11129992,12.10999414,12.672173,13.06680052,13.66645798,14.06769936,14.85034053,16.27232236
46,0.2112,11.1913,0.12825,7.398714788,8.22324379,8.736920949,9.019112693,9.466651162,9.779707628,10.2559062,11.19066635,12.19376981,12.7581533,13.15278082,13.75684752,14.16029353,14.94734394,16.37373502
47,0.2101,11.2696,0.12792,7.458239609,8.287177857,8.803059639,9.087456006,9.537199098,9.852460187,10.33086338,11.27003278,12.27534086,12.8441336,13.24096574,13.84503244,14.25068307,15.03993811,16.47514768
48,0.2091,11.347,0.1276,7.519969053,8.351111924,8.871402952,9.155799319,9.607747034,9.923008123,10.40361594,11.34719458,12.35691192,12.92790927,13.32694604,13.93542198,14.34107262,15.1347369,16.57435571
49,0.2081,11.4237,0.12729,7.577289251,8.415045991,8.935337019,9.221938009,9.676090347,9.993556059,10.4763685,11.42435639,12.43848297,13.01168495,13.41072171,14.02140228,14.42925754,15.22733106,16.67356375
50,0.2071,11.4995,0.12698,7.636814072,8.478980058,9.001475709,9.288076699,9.74443366,10.064104,10.54691643,11.49931357,12.51784939,13.093256,13.49449738,14.1095872,14.51744246,15.3177206,16.77056716
51,0.2061,11.5745,0.12667,7.696338893,8.540709502,9.065409776,9.354215389,9.812776973,10.13244731,10.61966899,11.57427075,12.59721582,13.17482705,13.57827306,14.19336287,14.60562738,15.40811015,16.86536595
52,0.2052,11.6486,0.12637,7.753659091,8.602438946,9.129343843,9.420354079,9.878915663,10.20079062,10.6880123,11.64922793,12.67658225,13.2563981,13.65984411,14.27713855,14.69160767,15.49629507,16.96016474
53,0.2042,11.7222,0.12607,7.810979289,8.661963767,9.19327791,9.484288146,9.947258976,10.26913393,10.75856024,11.72198049,12.75374406,13.33576453,13.74141516,14.36091422,14.77538335,15.58447999,17.05275891
54,0.2032,11.7947,0.12577,7.868299487,8.723693211,9.255007354,9.548222213,10.01119304,10.33527262,10.82690355,11.79473305,12.82870124,13.41513096,13.82078159,14.4446899,14.86136364,15.67266491,17.14535307
55,0.2023,11.8666,0.12548,7.923415062,8.783218032,9.316736798,9.609951657,10.07733173,10.40141131,10.89524687,11.86748561,12.90586304,13.49229276,13.90014802,14.52626095,14.94293469,15.7586452,17.23574261
56,0.2014,11.9378,0.1252,7.98073526,8.842742853,9.378466242,9.673885724,10.1412658,10.46755,10.96359018,11.93803355,12.98082022,13.56945457,13.97951444,14.607832,15.02671037,15.84242088,17.32613216
57,0.2005,12.0081,0.12491,8.035850835,8.902267674,9.440195686,9.735615168,10.20519987,10.53148407,11.02972887,12.00858148,13.05357278,13.64441175,14.05667625,14.68719843,15.1060768,15.92619655,17.4165217
58,0.1996,12.0778,0.12463,8.09096641,8.959587872,9.499720507,9.797344612,10.26913393,10.59541814,11.09586756,12.07692479,13.12852997,13.72157355,14.13383805,14.76436023,15.18764785,16.00997223,17.50470662
59,0.1987,12.1468,0.12436,8.143877362,9.01690807,9.559245328,9.856869433,10.33086338,10.65935221,11.16200625,12.14747273,13.20128252,13.79432611,14.21099986,14.84372666,15.26701428,16.09154328,17.59068692
60,0.1978,12.2152,0.12409,8.198992937,9.074228268,9.618770149,9.918598877,10.39259282,10.72328627,11.22594032,12.21581604,13.27183046,13.86928329,14.28595704,14.92088846,15.3463807,16.17311433,17.67666721
61,0.1969,12.2828,0.12382,8.251903889,9.131548466,9.67829497,9.978123698,10.45432227,10.78501572,11.28987438,12.28195473,13.34458302,13.94203585,14.36091422,14.99805027,15.42354251,16.25468538,17.76264751
62,0.196,12.3499,0.12356,8.304814841,9.186664041,9.735615168,10.03764852,10.51384709,10.84674516,11.35380845,12.35029805,13.41513096,14.01478841,14.43366678,15.07300745,15.50070431,16.33405181,17.84642319
63,0.1952,12.4162,0.1233,8.357725793,9.241779616,9.792935366,10.09496872,10.57557653,10.9084746,11.41774252,12.41643674,13.48347427,14.08754097,14.50641934,15.14796463,15.57786612,16.41341824,17.93019886
64,0.1943,12.4819,0.12304,8.408432122,9.296895191,9.850255564,10.15449354,10.63510135,10.97020405,11.47947196,12.48257543,13.5540222,14.15808891,14.5791719,15.22292182,15.6528233,16.49058004,18.01397453
65,0.1935,12.547,0.12279,8.459138451,9.352010766,9.907575762,10.21181374,10.69462617,11.02972887,11.54120141,12.54650949,13.62236552,14.22863684,14.64971984,15.29567437,15.72778048,16.56774185,18.09554558
66,0.1926,12.6115,0.12254,8.512049403,9.407126341,9.962691337,10.26913393,10.75194637,11.08925369,11.60293085,12.61264818,13.68850421,14.29698016,14.72247239,15.36842693,15.80273766,16.64490365,18.17711664
67,0.1918,12.6753,0.12229,8.562755732,9.460037293,10.01780691,10.32424951,10.81147119,11.14877851,11.66466029,12.67437763,13.75684752,14.36532347,14.79081571,15.44117949,15.87549022,16.71986083,18.25648306
68,0.191,12.7385,0.12205,8.611257438,9.512948245,10.07292249,10.38156971,10.86879139,11.20830333,11.72418511,12.73831169,13.82298621,14.43366678,14.86136364,15.51172743,15.94824278,16.79481801,18.33584949
69,0.1902,12.8011,0.12181,8.661963767,9.565859197,10.12803806,10.43668528,10.92611159,11.26562353,11.78370994,12.80224576,13.8891249,14.50201009,14.92970696,15.58227536,16.01879072,16.8697752,18.4130113
70,0.1894,12.8631,0.12157,8.710465473,9.618770149,10.18094901,10.49180086,10.98122716,11.32294373,11.84323476,12.86397521,13.95305897,14.56814878,14.99805027,15.6528233,16.08933865,16.94252776,18.4901731
71,0.1886,12.9246,0.12134,8.761171802,9.669476478,10.23606459,10.54471181,11.03854736,11.38026393,11.90055495,12.92570465,14.01919766,14.63428747,15.06639358,15.72116661,16.15988659,17.01528031,18.56733491
72,0.1878,12.9854,0.12111,8.809673508,9.72238743,10.28897554,10.59982738,11.09366294,11.4353795,11.96007978,12.98522947,14.0809271,14.70042616,15.13253227,15.78950993,16.23043453,17.08803287,18.64449671
73,0.187,13.0456,0.12088,8.858175214,9.773093759,10.34188649,10.65273834,11.14877851,11.4926997,12.01739997,13.04475429,14.14486117,14.76656485,15.19867096,15.85785324,16.29877784,17.15858081,18.71945389
74,0.1863,13.1054,0.12066,8.904472297,9.823800088,10.39259282,10.70564929,11.20168946,11.54781527,12.07251555,13.10648374,14.20879524,14.83049892,15.26260503,15.92619655,16.36712115,17.22912875,18.79441108
75,0.1855,13.1645,0.12044,8.95076938,9.872301794,10.44550377,10.75856024,11.25680504,11.60293085,12.12983575,13.16380393,14.27052468,14.89443299,15.32874372,15.99233524,16.43546447,17.29967668,18.86716363
76,0.1847,13.2231,0.12022,8.999271086,9.923008123,10.4962101,10.81147119,11.30971599,11.65804642,12.18495132,13.22332875,14.33225412,14.95616243,15.39267779,16.05847393,16.50160316,17.36801999,18.93991619
77,0.184,13.2811,0.12001,9.045568169,9.971509829,10.54691643,10.86217752,11.36262694,11.71095738,12.2400669,13.28064895,14.39177894,15.0200965,15.45661185,16.122408,16.56774185,17.43636331,19.01266875
78,0.1832,13.3386,0.1198,9.091865252,10.02001154,10.59762276,10.91288385,11.41553789,11.76386833,12.29518247,13.33796915,14.45350839,15.08182594,15.5183413,16.18854669,16.63388054,17.50470662,19.08321669
79,0.1825,13.3957,0.11959,9.135957712,10.06851324,10.64612447,10.96359018,11.46624422,11.81677928,12.35029805,13.39528935,14.51303321,15.14135076,15.58227536,16.25248076,16.70001923,17.57304993,19.15596925
80,0.1818,13.4522,0.11939,9.182254795,10.11701495,10.6968308,11.01429651,11.51915518,11.86969023,12.403209,13.45260955,14.57255803,15.20308021,15.64400481,16.3142102,16.76395329,17.63918862,19.22651718
81,0.181,13.5082,0.11918,9.226347255,10.16331203,10.7453325,11.06500284,11.5698615,11.92260118,12.45832457,13.50772512,14.62987823,15.26260503,15.70573425,16.37814427,16.82788736,17.70532731,19.2948605
82,0.1803,13.5635,0.11899,9.270439715,10.20960911,10.79383421,11.11350454,11.62056783,11.97330751,12.5090309,13.5628407,14.68940305,15.32212985,15.76525907,16.43987371,16.89182143,17.76926138,19.36320381
83,0.1796,13.6184,0.11879,9.314532175,10.25811082,10.84233591,11.16200625,11.67127416,12.02401384,12.56194185,13.61795627,14.74672325,15.38165467,15.82478389,16.50160316,16.95355087,17.83540007,19.43154712
84,0.1789,13.6729,0.1186,9.358624635,10.3044079,10.888633,11.21050796,11.71977587,12.07472017,12.61485281,13.67307185,14.80404345,15.44117949,15.88430872,16.5633326,17.01528031,17.89933414,19.49989044
85,0.1782,13.7269,0.11841,9.402717095,10.34850036,10.9371347,11.25900966,11.7704822,12.1254265,12.66555914,13.7259828,14.85915902,15.49849969,15.94383354,16.62285742,17.07700976,17.9632682,19.56602913
86,0.1775,13.7804,0.11822,9.444604932,10.39479745,10.98343179,11.30530674,11.8189839,12.17392821,12.71626546,13.78109837,14.91647922,15.55581989,16.00335836,16.68458686,17.1387392,18.02499765,19.63216782
87,0.1768,13.8336,0.11803,9.488697392,10.43888991,11.02972887,11.35380845,11.86748561,12.22463454,12.76697179,13.83400933,14.97159479,15.61314009,16.06067856,16.74411169,17.19826402,18.08672709,19.69830651
88,0.1761,13.886,0.11785,9.530585229,10.48518699,11.07602595,11.40010553,11.91598732,12.27313624,12.81767812,13.88692028,15.02671037,15.67046028,16.11799875,16.80143188,17.25778884,18.14845654,19.7644452
89,0.1754,13.9383,0.11767,9.572473066,10.52927945,11.12232304,11.44640262,11.9622844,12.32163795,12.86838445,13.93762661,15.08182594,15.72557586,16.17531895,16.8609567,17.31731367,18.21018598,19.82837926
90,0.1747,13.9899,0.1175,9.614360903,10.57337191,11.1664155,11.4926997,12.0107861,12.37013965,12.91688616,13.99053756,15.1347369,15.78069143,16.23263915,16.9182769,17.37683849,18.27191542,19.89231333
91,0.174,14.0412,0.11732,9.65624874,10.61525975,11.21271258,11.53899678,12.05708319,12.41643674,12.96538786,14.04124389,15.18985247,15.83580701,16.28775472,16.9755971,17.43636331,18.33144025,19.9562474
92,0.1734,14.0922,0.11715,9.695931954,10.65935221,11.25680504,11.58308924,12.10338027,12.46493844,13.01388957,14.09195022,15.24276342,15.89092258,16.3428703,17.0329173,17.49368351,18.39096507,20.02018146
93,0.1727,14.1424,0.11698,9.737819791,10.70124004,11.3008975,11.62938633,12.14967735,12.51123553,13.06239128,14.14265655,15.29567437,15.94603816,16.39798587,17.0902375,17.5510037,18.45048989,20.08191091
94,0.172,14.1925,0.11682,9.777503005,10.7453325,11.34498996,11.67347879,12.19597444,12.55753261,13.11089298,14.19336287,15.34858533,15.99894911,16.45310145,17.14535307,17.6083239,18.51001471,20.14584497
95,0.1714,14.2421,0.11666,9.817186219,10.78722034,11.3868778,11.71757125,12.2400669,12.60382969,13.15719006,14.24186458,15.39929166,16.05186006,16.50821702,17.20267327,17.6656441,18.56953953,20.20757442
96,0.1707,14.2912,0.11649,9.856869433,10.82910818,11.43097026,11.76166371,12.28636398,12.65012677,13.20348715,14.29036629,15.45220261,16.10477102,16.56112798,17.25558422,17.72075967,18.62685973,20.26709924
